created_at;entry_id;field1;field2;field3;field4;latitude;longitude;elevation;status
2026-03-26T12:24:25+07:00;1;19.63;24.72;29.5;21.94;;;;
2026-03-26T12:24:42+07:00;2;19.63;24.66;29.6;21.94;;;;
2026-03-26T12:25:11+07:00;3;19.63;24.99;29.7;21.94;;;;
2026-03-26T12:25:27+07:00;4;19.63;25.65;29.5;21.94;;;;
2026-03-26T12:25:44+07:00;5;19.63;24.66;29.6;21.94;;;;
2026-03-26T12:26:04+07:00;6;19.63;25.45;29.4;21.94;;;;
2026-03-26T12:26:34+07:00;7;19.63;25.38;29.5;21.94;;;;
2026-03-26T12:26:50+07:00;8;19.63;25.32;29.7;21.94;;;;
2026-03-26T12:27:20+07:00;9;19.63;24.13;29.5;21.94;;;;
2026-03-26T12:27:36+07:00;10;19.63;24.46;29.6;21.94;;;;
2026-03-26T12:28:07+07:00;11;19.63;24.46;29.4;21.94;;;;
2026-03-26T12:28:30+07:00;12;19.63;24.46;29.4;21.94;;;;
2026-03-26T12:28:59+07:00;13;19.63;23.93;29.6;21.94;;;;
2026-03-26T12:29:16+07:00;14;19.63;25.45;29.5;21.88;;;;
2026-03-26T12:29:46+07:00;15;19.63;23.93;29.6;21.88;;;;
2026-03-26T12:30:17+07:00;16;19.63;25.05;29.6;21.94;;;;
2026-03-26T12:30:34+07:00;17;19.63;25.05;29.6;21.94;;;;
2026-03-26T12:31:05+07:00;18;19.63;25.38;29.2;21.94;;;;
2026-03-26T12:31:40+07:00;19;19.63;27.03;29.4;21.94;;;;
2026-03-26T12:31:55+07:00;20;19.63;24.99;29.4;21.94;;;;
2026-03-26T12:32:11+07:00;21;19.63;24.06;29.4;21.94;;;;
2026-03-26T12:32:40+07:00;22;19.63;25.58;29.6;21.94;;;;
2026-03-26T12:33:12+07:00;23;19.63;23.67;29.5;21.94;;;;
2026-03-26T12:33:41+07:00;24;19.63;24.72;29.5;21.94;;;;
2026-03-26T12:36:31+07:00;25;19.63;24;29.4;21.94;;;;
2026-03-26T12:36:47+07:00;26;19.63;24.46;29.5;21.94;;;;
2026-03-26T12:37:16+07:00;27;19.63;25.71;29.4;21.94;;;;
2026-03-26T12:37:45+07:00;28;19.63;22.81;29.4;21.94;;;;
2026-03-26T12:38:02+07:00;29;19.63;23.4;29.5;21.94;;;;
2026-03-26T12:38:33+07:00;30;19.63;23.73;29.3;21.94;;;;
2026-03-26T12:39:10+07:00;31;19.63;24.99;29.4;21.94;;;;
2026-03-26T12:39:27+07:00;32;19.63;23.8;29.3;21.94;;;;
2026-03-26T12:39:42+07:00;33;19.63;23.07;29.2;21.94;;;;
2026-03-26T12:40:12+07:00;34;19.63;23.21;29.3;21.94;;;;
2026-03-26T12:40:31+07:00;35;19.69;23.01;29.4;21.94;;;;
2026-03-26T12:41:01+07:00;36;19.63;22.61;29.3;21.94;;;;
2026-03-26T12:41:30+07:00;37;19.63;25.58;29.5;21.94;;;;
2026-03-26T12:41:59+07:00;38;19.63;24.59;29.4;21.94;;;;
2026-03-26T12:42:31+07:00;39;19.63;24.59;29.3;21.94;;;;
2026-03-26T12:43:02+07:00;40;19.63;23.67;29.2;21.88;;;;
2026-03-26T12:43:33+07:00;41;19.63;25.25;29.2;21.94;;;;
2026-03-26T12:43:50+07:00;42;19.63;24.06;29.4;21.94;;;;
2026-03-26T12:44:21+07:00;43;19.63;25.98;29.1;21.94;;;;
